SpecimenID,Replicates,S,Structure,F,Filter,Rep,ParticleSize_nm,Penetration_pct
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,30,34.98186
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,40,45.37278
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,60,61.545717
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,80,67.248935
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,150,74.571959
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,250,80.045242
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,300,79.259777
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,400,83.498554
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,30,32.493567
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,40,42.615998
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,60,59.705355
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,80,65.373078
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,150,76.15784
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,250,81.709003
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,300,82.079179
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,400,81.799614
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,30,32.644058
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,40,43.239022
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,60,58.026679
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,80,66.582354
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,150,76.195199
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,250,83.787879
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,300,74.311111
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,400,82.388445
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,30,34.752049
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,40,45.179871
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,60,59.120779
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,80,68.504212
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,150,78.776558
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,250,85.673806
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,300,84.354839
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,400,83.435458
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,30,36.809225
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,40,47.327039
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,60,61.23857
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,80,70.774627
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,150,79.324353
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,250,84.051495
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,300,80.976812
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,400,84.705007
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,30,10.925354
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,40,14.592417
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,60,18.583982
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,80,20.481937
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,150,21.612597
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,250,22.131764
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,300,20.492309
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,400,17.771825
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,30,10.292864
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,40,14.356975
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,60,18.647524
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,80,20.613007
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,150,23.245781
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,250,23.237066
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,300,21.594902
S1F2_R2,S1F22,1,Two-layer knit,2,Meltblown,2,400,18.821541
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,30,12.735506
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,40,16.691178
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,60,21.241613
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,80,23.65514
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,150,28.518698
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,250,29.540118
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,300,27.812816
S1F2_R3,S1F23,1,Two-layer knit,2,Meltblown,3,400,24.506607
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,30,10.793165
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,40,14.708855
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,60,19.628439
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,80,21.74445
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,150,25.84237
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,250,25.737739
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,300,24.193438
S1F2_R4,S1F24,1,Two-layer knit,2,Meltblown,4,400,21.067832
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,30,12.184996
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,40,16.089635
S1F2_R5,S1F25,1,Two-layer knit,2,Meltblown,5,60,20.250855
