SpecimenID,Replicates,S,Structure,F,Filter,Rep_x,ParticleSize_nm,Penetration_pct,DeltaP_Pa,SpecBase,Rep_y
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,30,34.98186,51.380863483333336,S1F1,1
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,40,45.37278,51.380863483333336,S1F1,1
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,60,61.545717,51.380863483333336,S1F1,1
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,80,67.248935,51.380863483333336,S1F1,1
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,150,74.571959,51.380863483333336,S1F1,1
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,250,80.045242,51.380863483333336,S1F1,1
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,300,79.259777,51.380863483333336,S1F1,1
S1F1_R1,S1F11,1,Two-layer knit,1,Activated carbon,1,400,83.498554,51.380863483333336,S1F1,1
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,30,32.493567,46.94746306666665,S1F1,2
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,40,42.615998,46.94746306666665,S1F1,2
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,60,59.705355,46.94746306666665,S1F1,2
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,80,65.373078,46.94746306666665,S1F1,2
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,150,76.15784,46.94746306666665,S1F1,2
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,250,81.709003,46.94746306666665,S1F1,2
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,300,82.079179,46.94746306666665,S1F1,2
S1F1_R2,S1F12,1,Two-layer knit,1,Activated carbon,2,400,81.799614,46.94746306666665,S1F1,2
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,30,32.644058,48.85076068333333,S1F1,3
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,40,43.239022,48.85076068333333,S1F1,3
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,60,58.026679,48.85076068333333,S1F1,3
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,80,66.582354,48.85076068333333,S1F1,3
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,150,76.195199,48.85076068333333,S1F1,3
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,250,83.787879,48.85076068333333,S1F1,3
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,300,74.311111,48.85076068333333,S1F1,3
S1F1_R3,S1F13,1,Two-layer knit,1,Activated carbon,3,400,82.388445,48.85076068333333,S1F1,3
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,30,34.752049,39.64399771666666,S1F1,4
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,40,45.179871,39.64399771666666,S1F1,4
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,60,59.120779,39.64399771666666,S1F1,4
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,80,68.504212,39.64399771666666,S1F1,4
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,150,78.776558,39.64399771666666,S1F1,4
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,250,85.673806,39.64399771666666,S1F1,4
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,300,84.354839,39.64399771666666,S1F1,4
S1F1_R4,S1F14,1,Two-layer knit,1,Activated carbon,4,400,83.435458,39.64399771666666,S1F1,4
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,30,36.809225,36.626833783333325,S1F1,5
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,40,47.327039,36.626833783333325,S1F1,5
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,60,61.23857,36.626833783333325,S1F1,5
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,80,70.774627,36.626833783333325,S1F1,5
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,150,79.324353,36.626833783333325,S1F1,5
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,250,84.051495,36.626833783333325,S1F1,5
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,300,80.976812,36.626833783333325,S1F1,5
S1F1_R5,S1F15,1,Two-layer knit,1,Activated carbon,5,400,84.705007,36.626833783333325,S1F1,5
S1F2_R1,S1F21,1,Two-layer knit,2,Meltblown,1,30,10.925354,81.09404426666667,S1F2,1
